timestamp,close,high,low,trade_count,open,volume,vwap
2024-01-02 04:00:00-05:00,409.79,409.84,409.76,26,409.84,1541,409.799268
2024-01-02 04:01:00-05:00,409.75,409.81,409.75,11,409.81,604,409.776912
2024-01-02 04:02:00-05:00,409.68,409.71,409.68,9,409.71,1510,409.68931
2024-01-02 04:03:00-05:00,409.66,409.71,409.66,18,409.71,2679,409.697663
2024-01-02 04:04:00-05:00,409.61,409.63,409.61,6,409.63,343,409.623333
2024-01-02 04:06:00-05:00,409.41,409.41,409.41,12,409.41,176,409.41
2024-01-02 04:07:00-05:00,409.45,409.45,409.45,8,409.45,148,409.45
2024-01-02 04:08:00-05:00,409.4,409.45,409.4,9,409.45,614,409.410707
2024-01-02 04:09:00-05:00,409.44,409.47,409.41,13,409.41,2268,409.439524
2024-01-02 04:10:00-05:00,409.34,409.34,409.34,9,409.34,183,409.34
2024-01-02 04:11:00-05:00,409.28,409.28,409.27,14,409.27,530,409.272
2024-01-02 04:13:00-05:00,409.22,409.25,409.22,5,409.25,707,409.243402
2024-01-02 04:14:00-05:00,409.26,409.26,409.26,3,409.26,185,409.26
2024-01-02 04:15:00-05:00,409.17,409.21,409.17,8,409.21,351,409.183333
2024-01-02 04:16:00-05:00,409.19,409.19,409.15,9,409.15,1602,409.1525
2024-01-02 04:18:00-05:00,409.2,409.2,409.2,4,409.2,575,409.2
2024-01-02 04:19:00-05:00,409.15,409.22,409.15,3,409.22,501,409.206
2024-01-02 04:21:00-05:00,409.19,409.19,409.19,6,409.19,843,409.19
2024-01-02 04:23:00-05:00,409.22,409.25,409.22,7,409.25,1428,409.239623
2024-01-02 04:24:00-05:00,409.19,409.23,409.19,7,409.23,1265,409.193336
2024-01-02 04:25:00-05:00,409.15,409.15,409.15,8,409.15,504,409.15
2024-01-02 04:26:00-05:00,409.17,409.17,409.17,3,409.17,200,409.17
2024-01-02 04:29:00-05:00,409.29,409.3,409.29,8,409.3,662,409.298
2024-01-02 04:32:00-05:00,409.21,409.25,409.21,9,409.25,517,409.218081
2024-01-02 04:33:00-05:00,409.27,409.27,409.27,5,409.27,303,409.27
2024-01-02 04:35:00-05:00,409.17,409.22,409.17,12,409.22,1069,409.195075
2024-01-02 04:36:00-05:00,409.19,409.19,409.19,5,409.19,542,409.19
2024-01-02 04:37:00-05:00,409.1,409.1,409.1,15,409.1,673,409.1
2024-01-02 04:39:00-05:00,409.03,409.1,409.03,34,409.1,3197,409.069828
2024-01-02 04:40:00-05:00,408.94,409.01,408.94,31,409.01,1286,408.996
2024-01-02 04:41:00-05:00,408.99,408.99,408.99,3,408.99,829,408.99
2024-01-02 04:42:00-05:00,409.04,409.04,409.04,6,409.04,354,409.04
2024-01-02 04:43:00-05:00,408.99,409.0,408.99,9,409.0,2043,408.991304
2024-01-02 04:44:00-05:00,409.1,409.1,409.1,3,409.1,102,409.1
2024-01-02 04:45:00-05:00,409.1,409.12,409.1,5,409.1,465,409.110544
2024-01-02 04:47:00-05:00,409.15,409.15,409.15,6,409.15,156,409.15
2024-01-02 04:48:00-05:00,409.15,409.15,409.15,1,409.15,122,409.15
2024-01-02 04:53:00-05:00,409.01,409.01,409.01,2,409.01,300,409.01
2024-01-02 04:57:00-05:00,409.05,409.05,409.05,2,409.05,260,409.05
2024-01-02 04:58:00-05:00,409.03,409.03,409.03,1,409.03,100,409.03
2024-01-02 05:00:00-05:00,409.05,409.05,409.05,7,409.05,416,409.05
2024-01-02 05:02:00-05:00,409.01,409.01,408.97,8,408.97,550,408.978
2024-01-02 05:13:00-05:00,408.85,408.91,408.85,10,408.91,651,408.87
2024-01-02 05:14:00-05:00,408.82,408.82,408.82,8,408.82,223,408.82
2024-01-02 05:15:00-05:00,408.92,408.92,408.9,7,408.9,1409,408.91
2024-01-02 05:17:00-05:00,409.0,409.0,409.0,2,409.0,201,409.0
2024-01-02 05:20:00-05:00,408.99,408.99,408.92,6,408.92,2144,408.923335
2024-01-02 05:22:00-05:00,409.02,409.02,409.02,4,409.02,107,409.02
2024-01-02 05:23:00-05:00,408.99,408.99,408.99,7,408.99,115,408.99
2024-01-02 05:24:00-05:00,408.98,408.98,408.98,4,408.98,480,408.98
2024-01-02 05:28:00-05:00,408.79,408.79,408.79,11,408.79,442,408.79
2024-01-02 05:29:00-05:00,408.78,408.78,408.78,4,408.78,105,408.78
2024-01-02 05:32:00-05:00,408.86,408.86,408.86,6,408.86,170,408.86
2024-01-02 05:39:00-05:00,408.94,408.94,408.94,2,408.94,155,408.94
2024-01-02 05:40:00-05:00,409.1,409.1,409.0,14,409.0,876,409.042967
2024-01-02 05:41:00-05:00,409.06,409.07,409.06,5,409.07,313,409.063333
2024-01-02 05:42:00-05:00,409.02,409.08,409.02,11,409.08,2842,409.023214
2024-01-02 05:43:00-05:00,409.03,409.06,409.03,8,409.05,3645,409.049224
2024-01-02 05:48:00-05:00,408.94,408.94,408.94,3,408.94,235,408.94
2024-01-02 05:51:00-05:00,408.76,408.76,408.76,21,408.76,281,408.76
2024-01-02 05:52:00-05:00,408.72,408.72,408.67,13,408.7,1204,408.713669
2024-01-02 05:53:00-05:00,408.69,408.69,408.66,7,408.66,318,408.673514
2024-01-02 05:54:00-05:00,408.68,408.68,408.68,2,408.68,200,408.68
2024-01-02 05:56:00-05:00,408.73,408.77,408.72,16,408.77,4811,408.731458
2024-01-02 05:57:00-05:00,408.56,408.66,408.56,18,408.65,1103,408.634
2024-01-02 05:58:00-05:00,408.52,408.55,408.48,24,408.55,1633,408.512968
2024-01-02 05:59:00-05:00,408.49,408.49,408.45,6,408.45,3410,408.461765
2024-01-02 06:00:00-05:00,408.42,408.42,408.42,15,408.42,580,408.42
2024-01-02 06:03:00-05:00,408.46,408.46,408.46,15,408.46,389,408.46
2024-01-02 06:05:00-05:00,408.51,408.59,408.51,18,408.55,2805,408.57
2024-01-02 06:06:00-05:00,408.16,408.32,408.16,36,408.32,5274,408.282125
2024-01-02 06:07:00-05:00,408.07,408.21,408.07,23,408.21,1299,408.142381
2024-01-02 06:08:00-05:00,407.85,408.07,407.82,57,408.07,10168,407.964002
2024-01-02 06:09:00-05:00,407.94,407.94,407.91,9,407.91,1453,407.920282
2024-01-02 06:11:00-05:00,408.0,408.03,408.0,12,408.0,2157,408.011343
2024-01-02 06:12:00-05:00,407.92,408.0,407.9,21,408.0,2345,407.913636
2024-01-02 06:13:00-05:00,407.74,407.78,407.65,23,407.78,7591,407.699247
2024-01-02 06:14:00-05:00,407.6,407.65,407.6,24,407.65,3086,407.632698
