timestamp,open,high,low,close,volume
2026-06-29T13:06:00+00:00,29715.5,29725.0,29705.25,29708.25,1758
2026-06-29T13:07:00+00:00,29707.75,29721.0,29704.75,29719.5,974
2026-06-29T13:08:00+00:00,29720.0,29722.0,29713.0,29721.25,787
2026-06-29T13:09:00+00:00,29721.25,29722.0,29712.75,29713.75,845
2026-06-29T13:10:00+00:00,29713.25,29720.0,29709.0,29717.25,987
2026-06-29T13:11:00+00:00,29718.0,29721.75,29713.5,29720.5,881
2026-06-29T13:12:00+00:00,29720.0,29731.5,29718.0,29729.5,1873
2026-06-29T13:13:00+00:00,29729.75,29733.5,29725.25,29730.25,1247
2026-06-29T13:14:00+00:00,29730.5,29730.5,29721.75,29727.5,1028
2026-06-29T13:15:00+00:00,29727.0,29728.75,29722.5,29727.5,1032
2026-06-29T13:16:00+00:00,29727.0,29732.75,29724.25,29725.75,1179
2026-06-29T13:17:00+00:00,29725.5,29727.75,29721.0,29725.25,784
2026-06-29T13:18:00+00:00,29725.25,29727.0,29719.75,29725.75,1086
2026-06-29T13:19:00+00:00,29725.25,29726.25,29712.5,29714.0,1343
2026-06-29T13:20:00+00:00,29713.0,29715.0,29692.0,29694.5,2539
2026-06-29T13:21:00+00:00,29694.5,29696.5,29688.0,29691.75,1806
2026-06-29T13:22:00+00:00,29692.0,29697.75,29689.75,29691.0,1245
2026-06-29T13:23:00+00:00,29691.0,29691.5,29677.25,29682.25,1791
2026-06-29T13:24:00+00:00,29682.25,29684.25,29673.0,29676.75,1307
2026-06-29T13:25:00+00:00,29676.5,29681.5,29654.75,29656.5,2886
2026-06-29T13:26:00+00:00,29656.5,29663.25,29648.25,29651.5,2405
2026-06-29T13:27:00+00:00,29651.5,29651.5,29630.0,29630.75,3942
2026-06-29T13:28:00+00:00,29631.5,29656.75,29630.5,29648.75,3757
2026-06-29T13:29:00+00:00,29649.5,29659.5,29644.25,29644.75,4512
2026-06-29T13:30:00+00:00,29644.25,29673.75,29557.0,29622.75,24161
2026-06-29T13:31:00+00:00,29623.5,29691.75,29596.5,29664.0,16617
2026-06-29T13:32:00+00:00,29664.25,29737.75,29658.75,29721.5,14760
2026-06-29T13:33:00+00:00,29721.25,29741.25,29705.75,29722.25,9836
2026-06-29T13:34:00+00:00,29721.75,29768.0,29718.25,29760.25,12849
2026-06-29T13:35:00+00:00,29760.25,29767.0,29729.25,29741.5,11690
2026-06-29T13:36:00+00:00,29741.5,29745.0,29671.0,29685.5,17273
2026-06-29T13:37:00+00:00,29685.75,29693.25,29645.75,29679.0,16831
2026-06-29T13:38:00+00:00,29679.25,29685.0,29635.0,29657.75,14133
2026-06-29T13:39:00+00:00,29657.5,29715.0,29657.0,29709.75,15262
2026-06-29T13:40:00+00:00,29710.25,29744.0,29676.0,29733.75,18172
2026-06-29T13:41:00+00:00,29733.5,29755.0,29718.0,29719.75,13545
2026-06-29T13:42:00+00:00,29720.25,29765.75,29718.5,29756.0,12537
2026-06-29T13:43:00+00:00,29756.5,29768.25,29736.25,29748.5,11891
2026-06-29T13:44:00+00:00,29747.75,29795.0,29733.25,29785.0,16423
2026-06-29T13:45:00+00:00,29785.25,29824.25,29771.25,29817.25,19513
2026-06-29T13:46:00+00:00,29817.25,29818.0,29760.5,29770.75,17106
2026-06-29T13:47:00+00:00,29771.25,29821.0,29747.75,29809.75,17521
2026-06-29T13:48:00+00:00,29809.75,29816.5,29781.25,29812.5,10539
2026-06-29T13:49:00+00:00,29813.0,29821.0,29760.5,29767.25,10404
2026-06-29T13:50:00+00:00,29767.25,29780.0,29721.25,29779.0,14327
2026-06-29T13:51:00+00:00,29777.75,29831.25,29767.75,29812.5,13540
2026-06-29T13:52:00+00:00,29812.75,29836.0,29809.0,29815.75,10221
2026-06-29T13:53:00+00:00,29816.0,29838.5,29800.25,29807.75,9615
2026-06-29T13:54:00+00:00,29807.5,29816.0,29750.0,29761.0,12162
2026-06-29T13:55:00+00:00,29761.5,29776.0,29671.25,29675.5,16395
2026-06-29T13:56:00+00:00,29675.25,29695.75,29623.75,29646.25,16464
2026-06-29T13:57:00+00:00,29644.75,29652.75,29592.5,29600.75,15000
2026-06-29T13:58:00+00:00,29600.25,29639.0,29593.0,29603.75,12312
2026-06-29T13:59:00+00:00,29603.5,29632.25,29578.0,29617.25,13529
2026-06-29T14:00:00+00:00,29618.0,29631.75,29532.25,29576.25,20295
2026-06-29T14:01:00+00:00,29575.75,29617.5,29574.0,29590.25,12188
2026-06-29T14:02:00+00:00,29588.25,29591.25,29547.5,29572.75,9243
2026-06-29T14:03:00+00:00,29572.5,29609.5,29564.75,29577.0,8383
2026-06-29T14:04:00+00:00,29578.0,29582.25,29540.75,29542.75,8165
2026-06-29T14:05:00+00:00,29543.25,29544.75,29503.25,29506.0,12761
2026-06-29T14:06:00+00:00,29506.5,29554.5,29496.5,29499.25,10919
2026-06-29T14:07:00+00:00,29499.75,29534.25,29467.25,29468.25,12763
2026-06-29T14:08:00+00:00,29468.5,29495.5,29452.0,29492.25,10746
2026-06-29T14:09:00+00:00,29490.75,29514.25,29478.5,29498.0,10196
2026-06-29T14:10:00+00:00,29498.25,29517.75,29425.75,29445.25,16284
2026-06-29T14:11:00+00:00,29445.75,29465.5,29429.0,29448.75,10799
2026-06-29T14:12:00+00:00,29448.25,29463.5,29388.25,29392.25,15400
2026-06-29T14:13:00+00:00,29392.25,29397.5,29346.25,29352.5,15884
2026-06-29T14:14:00+00:00,29352.75,29376.0,29327.75,29329.5,12750
2026-06-29T14:15:00+00:00,29329.5,29354.75,29274.0,29352.5,17838
2026-06-29T14:16:00+00:00,29352.25,29385.25,29296.5,29299.25,15178
2026-06-29T14:17:00+00:00,29299.25,29350.0,29293.25,29319.25,10606
2026-06-29T14:18:00+00:00,29319.25,29345.5,29289.0,29330.75,10661
2026-06-29T14:19:00+00:00,29330.75,29387.75,29321.75,29382.0,11531
2026-06-29T14:20:00+00:00,29382.0,29395.0,29352.5,29386.5,12614
2026-06-29T14:21:00+00:00,29386.25,29406.5,29374.75,29404.5,10701
2026-06-29T14:22:00+00:00,29404.5,29437.0,29394.25,29397.25,11836
2026-06-29T14:23:00+00:00,29397.25,29399.0,29341.25,29360.5,12409
2026-06-29T14:24:00+00:00,29360.75,29410.0,29337.0,29402.0,10815
2026-06-29T14:25:00+00:00,29402.0,29452.75,29391.75,29449.0,12882
2026-06-29T14:26:00+00:00,29448.75,29479.25,29446.75,29464.5,12316
